cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(10, 12)",95725.81149401367,95999.53359578317,"[20834, 3463, 9812]",3463,2,9,6,95734.81149401367,96005.53359578317,95772.77941852498,96030.84554545737
"(10, 13)",95726.37728117133,95999.76428178807,"[20834, 5038, 8237]",5038,2,9,6,95735.37728117133,96005.76428178807,95773.34520568264,96031.07623146227
"(10, 14)",95728.6743958466,96002.6709117882,"[20834, 6505, 6770]",6505,2,9,6,95737.6743958466,96008.6709117882,95775.6423203579,96033.9828614624
"(10, 15)",95730.34578319867,96004.1804604478,"[20834, 7850, 5425]",5425,2,9,6,95739.34578319867,96010.1804604478,95777.31370770998,96035.492410122
"(10, 16)",95726.14123205328,96002.89145189781,"[20834, 9099, 4176]",4176,2,9,6,95735.14123205328,96008.89145189781,95773.10915656459,96034.20340157201
"(10, 17)",95728.89474196298,96003.91003484585,"[20834, 10253, 3022]",3022,2,9,6,95737.89474196298,96009.91003484585,95775.86266647429,96035.22198452005
"(10, 18)",95732.38443529017,96005.60870895124,"[20834, 11329, 1946]",1946,2,9,6,95741.38443529017,96011.60870895124,95779.35235980147,96036.92065862544
"(10, 19)",95730.7593514307,96005.29650857259,"[20834, 12335, 940]",940,2,9,6,95739.7593514307,96011.29650857259,95777.727275942,96036.60845824679
"(11, 12)",95729.49882410446,96003.54866887018,"[22617, 1680, 9812]",1680,2,9,6,95738.49882410446,96009.54866887018,95776.46674861577,96034.86061854438
"(11, 13)",95729.48177506495,96002.93341269103,"[22617, 3255, 8237]",3255,2,9,6,95738.48177506495,96008.93341269103,95776.44969957626,96034.24536236523
"(11, 14)",95729.99682287003,96004.0634970011,"[22617, 4722, 6770]",4722,2,9,6,95738.99682287003,96010.0634970011,95776.96474738134,96035.3754466753
"(11, 15)",95730.7833804916,96004.57969005537,"[22617, 6067, 5425]",5425,2,9,6,95739.7833804916,96010.57969005537,95777.75130500291,96035.89163972957
"(11, 16)",95727.07548421316,96003.8019599138,"[22617, 7316, 4176]",4176,2,9,6,95736.07548421316,96009.8019599138,95774.04340872446,96035.113909588
"(11, 17)",95729.08741711976,96004.02203940728,"[22617, 8470, 3022]",3022,2,9,6,95738.08741711976,96010.02203940728,95776.05534163107,96035.33398908148
"(11, 18)",95731.48179861957,96004.75822015783,"[22617, 9546, 1946]",1946,2,9,6,95740.48179861957,96010.75822015783,95778.44972313088,96036.07016983203
"(11, 19)",95729.88582436756,96004.34171409521,"[22617, 10552, 940]",940,2,9,6,95738.88582436756,96010.34171409521,95776.85374887887,96035.65366376941
"(12, 13)",95742.78749572593,96017.07970129953,"[24297, 1575, 8237]",1575,2,9,6,95751.78749572593,96023.07970129953,95789.75542023724,96048.39165097373
"(12, 14)",95743.04662775574,96017.66999894082,"[24297, 3042, 6770]",3042,2,9,6,95752.04662775574,96023.66999894082,95790.01455226705,96048.98194861502
"(12, 15)",95743.28131349765,96017.81767008928,"[24297, 4387, 5425]",4387,2,9,6,95752.28131349765,96023.81767008928,95790.24923800895,96049.12961976348
"(12, 16)",95739.99826085701,96017.39076774895,"[24297, 5636, 4176]",4176,2,9,6,95748.99826085701,96023.39076774895,95786.96618536832,96048.70271742315
"(12, 17)",95741.52991903442,96017.47780179593,"[24297, 6790, 3022]",3022,2,9,6,95750.52991903442,96023.47780179593,95788.49784354573,96048.78975147013
"(12, 18)",95743.44061288495,96017.76621228135,"[24297, 7866, 1946]",1946,2,9,6,95752.44061288495,96023.76621228135,95790.40853739626,96049.07816195555
