source,stage,value
empirical,years_1_4,5.772399160549378
empirical,years_1_4,-0.3034750185838977
empirical,years_1_4,2.385380459161514
empirical,years_1_4,-2.8859441991104697
empirical,years_1_4,-2.6365238098576667
empirical,years_1_4,2.202445254281322
empirical,years_1_4,1.312838135644996
empirical,years_1_4,6.314394331835344
empirical,years_1_4,3.456730650642392
empirical,years_1_4,2.0472991522046637
empirical,years_1_4,-0.0979052552002746
empirical,years_1_4,10.496576389051436
empirical,years_1_4,-8.642443842178576
empirical,years_1_4,5.6917128340658705
empirical,years_1_4,1.297922737093093
empirical,years_1_4,-4.40152933733043
empirical,years_1_4,5.3803322378482346
empirical,years_1_4,-1.5315759572406664
empirical,years_1_4,-2.102766004969576
empirical,years_1_4,10.679480737391474
empirical,years_1_4,-7.484284616773407
empirical,years_1_4,19.819435882855473
empirical,years_1_4,4.300133410194285
empirical,years_1_4,-0.4895262760013725
empirical,years_1_4,-6.811194325080083
empirical,years_1_4,9.98671259296098
empirical,years_1_4,-0.1122821794198136
empirical,years_1_4,-2.4119594510180393
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,-1.6728094678460528
empirical,years_1_4,3.1117961484175325
empirical,years_1_4,1.3944067137922218
empirical,years_1_4,2.7489541369188046
empirical,years_1_4,-0.0510362209108727
empirical,years_1_4,4.159353648063955
empirical,years_1_4,-1.540627947997276
empirical,years_1_4,2.4944335783325897
empirical,years_1_4,-7.083049905784299
empirical,years_1_4,-0.3440680977999424
empirical,years_1_4,-0.3096113266951157
empirical,years_1_4,-0.279778565220468
empirical,years_1_4,-4.295879940054407
empirical,years_1_4,-3.40668079401508
empirical,years_1_4,6.1309007630139
empirical,years_1_4,-3.216536361749782
empirical,years_1_4,-3.9779257460012296
empirical,years_1_4,-1.8751597410316532
empirical,years_1_4,1.7363789006703432
empirical,years_1_4,-1.7363789006703432
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,6.530830688885647
empirical,years_1_4,3.1117961484175325
empirical,years_1_4,5.900609576001976
empirical,years_1_4,4.0468768740118986
empirical,years_1_4,6.577065069182426
empirical,years_1_4,-4.295879940054407
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,2.9020627996514237
empirical,years_1_4,-0.0968702757065904
empirical,years_1_4,-2.805192523944833
empirical,years_1_4,-7.934427459986176
empirical,years_1_4,0.0
empirical,years_1_4,4.6144047052993615
empirical,years_1_4,2.013486587048857
empirical,years_1_4,-0.0756006841697671
empirical,years_1_4,-1.229813140239154
empirical,years_1_4,3.3353470087820147
empirical,years_1_4,0.9587772396173389
empirical,years_1_4,4.143639645801015
empirical,years_1_4,-2.289507098928156
empirical,years_1_4,-0.1613726529670098
empirical,years_1_4,5.47374171380301
empirical,years_1_4,-2.4119594510180393
empirical,years_1_4,4.418594194898812
empirical,years_1_4,-0.1833030327318647
empirical,years_1_4,3.8915681264775825
empirical,years_1_4,-0.0832654487965456
empirical,years_1_4,1.1522435502141306
empirical,years_1_4,-3.694654372707577
empirical,years_1_4,4.630756362917854
empirical,years_1_4,2.851026578740551
empirical,years_1_4,1.2572908484125307
empirical,years_1_4,3.8857148518592464
empirical,years_1_4,1.0066051854110558
empirical,years_1_4,-4.40152933733043
empirical,years_1_4,1.3105751379558437
empirical,years_1_4,-0.0874951286382681
empirical,years_1_4,-1.3544708600432689
empirical,years_1_4,2.7745235004123305
empirical,years_1_4,5.159903959573845
empirical,years_1_4,4.6867806922030875
empirical,years_1_4,-10.209248701171225
empirical,years_1_4,1.1918975038916615
empirical,years_1_4,1.1181504313145414
empirical,years_1_4,-0.1081860742645357
empirical,years_1_4,-1.2265492224326513
empirical,years_1_4,7.830369437412074
empirical,years_1_4,-12.12624937746648
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,1.35658569996413
empirical,years_1_4,-0.0437475643191338
empirical,years_1_4,2.500778098095174
empirical,years_1_4,1.1125895965365995
empirical,years_1_4,-9.353150322805552
empirical,years_1_4,-4.5041762752856425
empirical,years_1_4,10.377975550724988
empirical,years_1_4,-11.186687064875665
empirical,years_1_4,1.9510284956776276
empirical,years_1_4,-0.0758687546459744
empirical,years_1_4,-1.8751597410316532
empirical,years_1_4,1.7363789006703432
empirical,years_1_4,3.054959720029638
empirical,years_1_4,1.3405762603200395
empirical,years_1_4,7.051012115485069
empirical,years_1_4,-6.046301288569325
empirical,years_1_4,-2.2323333090306843
empirical,years_1_4,4.872406068203508
empirical,years_1_4,-0.5085554625943214
empirical,years_1_4,-5.31880322978512
empirical,years_1_4,-3.600009730581166
empirical,years_1_4,0.0
empirical,years_1_4,3.06545038150695
empirical,years_1_4,8.731906981133971
empirical,years_1_4,-5.36239932072961
empirical,years_1_4,5.704153182827358
empirical,years_1_4,7.671079338048102
empirical,years_1_4,-1.3505133186017853
empirical,years_1_4,-0.0756006841697671
empirical,years_1_4,-0.0721240495096906
empirical,years_1_4,-0.0688601317031878
empirical,years_1_4,-1.312838135644996
empirical,years_1_4,2.4631029151383848
empirical,years_1_4,-2.4631029151383848
empirical,years_1_4,2.315378181458927
empirical,years_1_4,3.811036551090419
empirical,years_1_4,6.988992640653077
empirical,years_1_4,-7.393348397728416
empirical,years_1_4,22.42582879523929
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,1.5558980742087662
empirical,years_1_4,3.405411674579182
empirical,years_1_4,6.50052957291134
empirical,years_1_4,4.417678751044235
empirical,years_1_4,-6.791956580714009
empirical,years_1_4,3.165394039943929
empirical,years_1_4,1.3853887890450831
empirical,years_1_4,-6.223592296835065
empirical,years_1_4,8.706188398954271
empirical,years_1_4,-1.586638510005562
empirical,years_1_4,3.7635241496584513
empirical,years_1_4,-0.2914290707879097
empirical,years_1_4,-1.509129133311908
empirical,years_1_4,2.5630168346783577
empirical,years_1_4,-0.3220739340580039
empirical,years_1_4,4.9451195923460425
empirical,years_1_4,-0.4579599683809991
empirical,years_1_4,-1.8037250274318477
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,3.1117961484175325
empirical,years_1_4,-0.7276213449135867
empirical,years_1_4,-0.631394181858826
empirical,years_1_4,12.50944216087264
empirical,years_1_4,-1.9465944546314584
empirical,years_1_4,1.6690327739088386
empirical,years_1_4,1.5456706021974722
empirical,years_1_4,-0.1802248957481769
empirical,years_1_4,-1.8037250274318477
empirical,years_1_4,0.0
empirical,years_1_4,8.063672512983302
empirical,years_1_4,-0.2841821419394712
empirical,years_1_4,-2.4631029151383848
empirical,years_1_4,2.315378181458927
empirical,years_1_4,-0.0688601317031878
empirical,years_1_4,3.205295289373078
empirical,years_1_4,3.29510695418746
empirical,years_1_4,-4.178927763662138
empirical,years_1_4,10.014196643453031
empirical,years_1_4,-9.12688053312175
empirical,years_1_4,2.4036741075469807
empirical,years_1_4,-0.2245643588396273
empirical,years_1_4,2.097688155912964
empirical,years_1_4,-2.5030128630502304
empirical,years_1_4,-10.5792366133149
empirical,years_1_4,7.235878353054118
empirical,years_1_4,1.9929310575446069
empirical,years_1_4,-0.3916210208011002
empirical,years_1_4,-4.721524676098481
empirical,years_1_4,-0.0510362209108727
empirical,years_1_4,2.756757386091538
empirical,years_1_4,-0.1380316860248598
empirical,years_1_4,-0.5595571304409361
