source,aggregation,theoretical,observed
empirical,year_20,-0.11398892177725828,-0.08142583281287662
empirical,year_20,-0.10966982413538819,-0.05609926106920366
empirical,year_20,-0.10535277138166493,-0.05609926106920366
empirical,year_20,-0.10103768119826301,-0.05609926106920366
empirical,year_20,-0.09672447152571936,-0.05609926106920366
empirical,year_20,-0.09241306055172403,-0.05609926106920366
empirical,year_20,-0.08810336669999443,-0.05609926106920366
empirical,year_20,-0.08379530861923098,-0.04474311423321957
empirical,year_20,-0.07948880517214994,-0.04144846853839273
empirical,year_20,-0.07518377542458891,-0.04144846853839273
empirical,year_20,-0.07088013863468176,-0.04144846853839273
empirical,year_20,-0.066577814242099,-0.04144846853839273
empirical,year_20,-0.06227672185734913,-0.04144846853839273
empirical,year_20,-0.05797678125113915,-0.04144846853839273
empirical,year_20,-0.053677912343788055,-0.02136343351475739
