source,start_year,end_year,start_decile,end_decile,count,probability
empirical,10,15,6,9,7,0.10294117647058823
empirical,10,15,6,10,6,0.08823529411764706
empirical,10,15,7,1,5,0.07352941176470588
empirical,10,15,7,2,3,0.04411764705882353
empirical,10,15,7,3,5,0.07352941176470588
empirical,10,15,7,4,5,0.07352941176470588
empirical,10,15,7,5,13,0.19117647058823528
empirical,10,15,7,6,9,0.1323529411764706
empirical,10,15,7,7,8,0.11764705882352941
empirical,10,15,7,8,8,0.11764705882352941
empirical,10,15,7,9,10,0.14705882352941177
empirical,10,15,7,10,2,0.029411764705882353
empirical,10,15,8,1,0,0.0
empirical,10,15,8,2,5,0.07352941176470588
empirical,10,15,8,3,7,0.10294117647058823
empirical,10,15,8,4,5,0.07352941176470588
empirical,10,15,8,5,7,0.10294117647058823
empirical,10,15,8,6,8,0.11764705882352941
empirical,10,15,8,7,8,0.11764705882352941
empirical,10,15,8,8,11,0.16176470588235295
empirical,10,15,8,9,10,0.14705882352941177
empirical,10,15,8,10,7,0.10294117647058823
empirical,10,15,9,1,0,0.0
empirical,10,15,9,2,0,0.0
empirical,10,15,9,3,4,0.058823529411764705
empirical,10,15,9,4,5,0.07352941176470588
empirical,10,15,9,5,7,0.10294117647058823
empirical,10,15,9,6,4,0.058823529411764705
empirical,10,15,9,7,7,0.10294117647058823
empirical,10,15,9,8,11,0.16176470588235295
empirical,10,15,9,9,11,0.16176470588235295
empirical,10,15,9,10,19,0.27941176470588236
empirical,10,15,10,1,0,0.0
empirical,10,15,10,2,1,0.014492753623188406
empirical,10,15,10,3,3,0.043478260869565216
empirical,10,15,10,4,1,0.014492753623188406
empirical,10,15,10,5,2,0.028985507246376812
empirical,10,15,10,6,3,0.043478260869565216
empirical,10,15,10,7,7,0.10144927536231885
empirical,10,15,10,8,11,0.15942028985507245
empirical,10,15,10,9,15,0.21739130434782608
empirical,10,15,10,10,26,0.37681159420289856
empirical,10,20,1,1,15,0.22058823529411764
empirical,10,20,1,2,8,0.11764705882352941
empirical,10,20,1,3,18,0.2647058823529412
