source,aggregation,value
empirical,year_20,5.616295124389348
simulated,year_20,4.451695071457316
simulated,year_20,1.264739562763892
simulated,year_20,2.1974824001645694
simulated,year_20,4.799274184270933
simulated,year_20,0.865307323232875
simulated,year_20,6.231846898509103
simulated,year_20,24.517551681387403
simulated,year_20,7.594306519211077
simulated,year_20,5.70400777763245
simulated,year_20,1.2504773465023282
simulated,year_20,8.883243204528247
simulated,year_20,1.169869946890471
simulated,year_20,14.386522717019137
simulated,year_20,9.127790720221084
simulated,year_20,7.493435801610488
simulated,year_20,2.5455313483164725
simulated,year_20,9.78311708751903
simulated,year_20,11.264599163918053
simulated,year_20,6.649674792028793
simulated,year_20,9.986393489755095
simulated,year_20,2.4850931550424464
simulated,year_20,6.519753373194196
simulated,year_20,2.39220430630276
simulated,year_20,9.107245512136366
simulated,year_20,0.8923074315604891
simulated,year_20,7.621786678282492
simulated,year_20,11.255373514700326
simulated,year_20,11.001686911717265
simulated,year_20,0.6782788926108532
simulated,year_20,3.0095587283210854
simulated,year_20,5.773476728646894
simulated,year_20,9.307434026829233
simulated,year_20,9.448604072863821
simulated,year_20,3.613981132387993
simulated,year_20,3.621931222421454
simulated,year_20,2.7803930521285274
simulated,year_20,0.48534930909397533
simulated,year_20,7.341870674645603
simulated,year_20,3.806027521829665
simulated,year_20,6.02680826842678
simulated,year_20,5.8757107926379675
simulated,year_20,4.5793966127663674
simulated,year_20,16.93143664136427
simulated,year_20,12.932697801168722
simulated,year_20,2.65833194361485
simulated,year_20,2.4632369988586245
simulated,year_20,14.770234712940951
simulated,year_20,11.804784255503986
simulated,year_20,8.076500735123405
simulated,year_20,6.008409182681199
simulated,year_20,3.0369944411463576
simulated,year_20,10.827375880347391
simulated,year_20,5.316591114068343
simulated,year_20,16.477564312416202
